epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2663.74,1.52536,1.77051,1.24399,0.84797,0.69573,0.7941,0.47672,1.38339,1.05271,1.16635,0.000553593,0.000553593,0.000553593
2,2782.59,1.42139,1.10932,1.18813,0.78637,0.67014,0.73299,0.43892,1.41041,1.24567,1.22295,0.000999443,0.000999443,0.000999443
3,2899.41,1.40345,0.974,1.18921,0.86539,0.78206,0.85303,0.52493,1.3641,0.83611,1.17835,0.00133527,0.00133527,0.00133527
4,3019.4,1.36251,0.86921,1.16026,0.87972,0.79475,0.86711,0.5335,1.34244,0.83987,1.17465,0.0011719,0.0011719,0.0011719
5,3137.15,1.34151,0.79039,1.15638,0.8973,0.79643,0.87694,0.56218,1.2947,0.73413,1.13877,0.00100687,0.00100687,0.00100687
6,3256.07,1.30854,0.74414,1.13295,0.92231,0.8199,0.90745,0.57879,1.28108,0.67628,1.12041,0.000841835,0.000841835,0.000841835
7,3373.86,1.27724,0.69736,1.11429,0.90828,0.83247,0.90826,0.57983,1.26233,0.67074,1.11511,0.000676802,0.000676802,0.000676802
8,3492.39,1.25835,0.66718,1.10408,0.91434,0.85375,0.92025,0.59896,1.24934,0.62102,1.10916,0.000511769,0.000511769,0.000511769
9,3609.74,1.23009,0.62801,1.09193,0.91931,0.85681,0.9222,0.60501,1.22603,0.60399,1.09331,0.000346736,0.000346736,0.000346736
10,3726.47,1.20362,0.60027,1.07685,0.92694,0.85263,0.92555,0.61391,1.1977,0.57419,1.08144,0.000181703,0.000181703,0.000181703
